date,weekday,城六区,西北部,东北部,东南部,西南部
2022/1/1,Saturday,53.93749999999999,48,45.21375,62.339999999999996,49.655
2022/1/2,Sunday,27.658333333333335,28.482,28.307500000000005,27.356666666666666,31.0925
2022/1/3,Monday,51.482499999999995,41.15,39.448750000000004,57.77666666666667,52.2825
2022/1/4,Tuesday,54.899166666666666,44.8,43.510000000000005,67.47,56.7075
2022/1/5,Wednesday,84.47166666666666,87.13200000000002,78.02624999999999,72.22999999999999,88.5375
2022/1/6,Thursday,79.25750000000001,73.15599999999999,76.87124999999999,90.92833333333333,72.03
2022/1/7,Friday,120.25083333333333,87.09199999999998,108.84625,145.50166666666667,94.18749999999999
2022/1/8,Saturday,80.0125,68.13199999999999,71.46124999999999,111.29166666666664,82.7075
2022/1/9,Sunday,70.31750000000001,70.40599999999999,58.1925,59.59,84.655
2022/1/10,Monday,36.83083333333333,34.9,38.10375,41.665,40.7825
2022/1/11,Tuesday,26.06500000000001,27.51,23.42125,27.826666666666664,26.832500000000003
2022/1/12,Wednesday,40.92333333333333,35.967999999999996,27.651249999999997,48.38999999999999,42.0325
2022/1/13,Thursday,23.174166666666668,26.826,25.741249999999997,24.706666666666663,25.645
2022/1/14,Friday,96.885,67.61800000000001,88.125,115.32000000000001,86.95
2022/1/15,Saturday,73.37166666666667,63.198,84.655,87.58666666666666,61.16499999999999
2022/1/16,Sunday,24.813333333333333,27.139999999999997,24.942500000000003,24.319999999999997,26.53
2022/1/17,Monday,37.42666666666666,35.55799999999999,31.656249999999996,39.43,38.95
2022/1/18,Tuesday,75.99,56.001999999999995,59.52875,77.28333333333333,62.8525
2022/1/19,Wednesday,81.28166666666667,86.49800000000002,82.88499999999999,72.17999999999999,79.4875
2022/1/20,Thursday,50.13083333333333,57.958000000000006,57.665,55.925000000000004,48.2725
2022/1/21,Friday,74.82666666666667,79.558,84.23375,78.66499999999999,76.2625
2022/1/22,Saturday,140.90666666666667,117.18199999999999,120.5375,141.73499999999999,135.69750000000002
2022/1/23,Sunday,162.74,138.666,161.59374999999997,178.255,157.9275
